categoria,nome,referencia,preco_sem_iva
BACALHAU,MIGAS BACALHAU GM CX 8KG PL,8122,8.45
CARNES,COELHO CX +-12 KG,4202,6.65
CARNES,COSTELETAS DE BORREGO DE LEITE CX 5 KG,4320,0.0
CARNES,ESPETADAS DE PERU CONG.,4438,0.0
CARNES,ESPETADAS DE PORCO CONG.,4437,0.0
CARNES,FRANGO INTEIRO 950GR / 1100GR (CX 15KG),4303,2.4
CARNES,HAMBURGUER 80GR HIG. CX 5.92KG,4110,9.2
CARNES,LÍNGUA DE NOVILHO,4306,0.0
CARNES,LOMBO VACA IBERICO,3303,0.0
CARNES,MOELAS DE FRANGO CX 10 KG,4211,2.26
CARNES,MOELAS FRANGO UCRANIA,4111,0.0
CARNES,OSSO BUCOCX +/- 5 KG,4305,0.0
CARNES,PEITO DE FRANGO TH CX 6X2KG (23),4500,6.65
CARNES,PICANHA ESP. A CARPRISA CX+-20KG,4254,0.0
CARNES,PICANHA NOVILHO (A) EUR. CX+-20KG,4035,14.95
CARNES,PRESA IBERICA CX 6 KG +/-,4156,0.0
LEGUMES,BATATA PALITO CRINCLE CX 5x2.5KG,5600,2.21
LEGUMES,BATATA FAST FRY CRINCLE 5X2.5,5094,0.0
LEGUMES,BATATA PALITO 13MM 3X5 KG,5072,0.0
LEGUMES,BATATA PRE FRITA 7/7 LUTOSA 4X2.5,5506,0.0
LEGUMES,BATATA PRE FRITA 9/9 SKIN 5X2.5,5507,0.0
LEGUMES,CEBOLA PARISIENSE,5300,0.0
LEGUMES,CEBOLINHA PEROLA,5120,0.0
MARISCOS,CABEÇAS DE CAMARAO,3450,0.0
MARISCOS,CAMARÃO 6/8 SELV. AV. CX 10 KG PL,3204,13.95
MARISCOS,CAMARÃO 20/30 VAN. 20% VID.CX 8 PLE /10 PL,3205,5.75
MARISCOS,CAMARÃO 20/30 VANAMEI 6X2 KG PLE,3549,7.98
MARISCOS,CAMARÃO 20/30 WHITE SELV. 12X1 KG,3305,14.25
MARISCOS,CAMARÃO 30/40 VAN. 20% VID.CX 8 PLE /10 PL,3412,4.75
MARISCOS,CAMARÃO 30/40 VANNAMEI 6X2 KG PLE,3206,0.0
MARISCOS,CAMARÃO 40/60 MAD. 6X2KG,3850,0.0
MARISCOS,CARANGUEJO DE CASCA MOLE CX 6 PL,3409,12.52
MARISCOS,GAMBA BRANCA G0 CA +/- 10 KG,3413,0.0
MARISCOS,LAGOSTA 600/800 CX 5 KG,3202,0.0
MARISCOS,LAGOSTA 900/1200 CX 10 KG,3503,0.0
MARISCOS,MEXILHÃO N.Z. MEIA CONCHA CX 12 X 800GR,3408,9.37
MARISCOS,MIOLO VIEIRA,6306,16.42
MARISCOS,PEITO DE SAPATEIRA COZIDO,3201,7.0
PEIXE E MOLUSCOS,ATUM BARRIGAS (ventrescas)(marinadas) CX +- 20 KG,6048,8.95
PEIXE E MOLUSCOS,ATUM LOMBO S/P S/V S/S CX +/- 13 KG ANCAVICO,6600,0.0
PEIXE E MOLUSCOS,ATUM VERMELHO EXTRA CX +/- 19 KG (marinado),6039,16.18
PEIXE E MOLUSCOS,CAÇÃO POSTA CX 6 KG PL,7008,6.55
PEIXE E MOLUSCOS,CAÇÃO S/P 4/7 PLE FAO 47 NAM.,6301,0.0
PEIXE E MOLUSCOS,CALAMARES ROMANA 4X1KG,6325,0.0
PEIXE E MOLUSCOS,CALDEIRADA PEIXE COVETE 10X900GR,6605,0.0
PEIXE E MOLUSCOS,CARAPAU PELIM 50 PEÇAS AV. CX 6 KG PL,6000,5.15
PEIXE E MOLUSCOS,CHOCO LIMPO +4000 FAO 51 CX +/-13 KG PL,6013,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO 1000/2000 FAO 51 CX +/- 13KG PL,6834,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO 13/20 SACO 10X800 GR,6080,6.8
PEIXE E MOLUSCOS,CHOCO LIMPO 2000/3000 FAO 51 CX +/- 13KG PL,6986,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO 40/60 10X800GR PLE,6202,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO 8/12 CX 6 PL,6892,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO IQF U/1 AV CX 10 KG,6036,6.88
PEIXE E MOLUSCOS,CHOCO LIMPO IQF U/2 AV CX 10 KG PL,6863,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO IQF U/3 AV CX 15 KG PL,6752,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO MARROCOS 2000/3000 CX +- 12KG PL,6943,9.88
PEIXE E MOLUSCOS,CHOCO LIMPO MARROCOS 1000/2000 CX +/- 12 KG PL,6955,8.41
PEIXE E MOLUSCOS,CHOCO LIMPO MARROCOS 3000/4000 0% VID. CX+-10KG,6008,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO MARROCOS 3000/4000 CX +- 13KG PL,6987,0.0
PEIXE E MOLUSCOS,CHOCO LIMPO MARROCOS 4000+ CX +-14 KG PL,6931,10.92
PEIXE E MOLUSCOS,CHOCO LIMPO U/1 CX 15 KG PL,6750,6.88
PEIXE E MOLUSCOS,CHOCO MONGO 6 BL PLE,6930,0.0
PEIXE E MOLUSCOS,CHOCO SUJO 100/200 SENG. CX 6 KG PL,6082,6.9
PEIXE E MOLUSCOS,CHOCO SUJO 150/300 CX 6 KG PL,6953,7.75
PEIXE E MOLUSCOS,CHOCO SUJO 200/300 SENG. AV. CX 6KG PL,6083,7.5
PEIXE E MOLUSCOS,CHOCO SUJO 300/400 SENG. CX 6KG PL,6304,0.0
PEIXE E MOLUSCOS,CHOCO SUJO 50/100 SENG. AV CX6KG PL,6081,5.95
